state,district,crop_type,season,irrigation_type,soil_type,land_size_acres,land_size_hectares,recommended_dose_kg_per_acre,max_allowed_qty_kg,past_fertilizer_usage_kg,expected_yield_kg,yield_per_ha_kg
Rajasthan,RajasthanDist140,Bajra,Kharif,Rainfed,Loam,2.71,1.097,12,31.29,35.08,1039.35,900
Assam,AssamDist184,Tea,Kharif,Borewell,Loam,1.63,0.66,10,17.37,16.16,1679.4,2500
Rajasthan,RajasthanDist41,Cotton,Zaid,Canal,Clay,3.06,1.238,20,66.69,68.92,738.5,700
Tamil Nadu,TamilDist25,Sugarcane,Rabi,Borewell,Loam,6.16,2.493,80,603.86,403.5,153180.88,70000
Kerala,KeralaDist97,Coconut,Zaid,Borewell,Loam,1.51,0.611,10,17.75,14.32,5582.47,8000
Assam,AssamDist59,Tea,Zaid,Rainfed,Clay,1.51,0.611,10,14.85,15.98,1319.54,2500
Tripura,TripuraDist42,Maize,Kharif,Rainfed,Loam,6.45,2.61,30,192.25,173.13,10051.5,3500
Kerala,KeralaDist44,Coconut,Kharif,Rainfed,Sandy,3.37,1.364,10,33.68,34.42,11267.54,8000
Nagaland,NagalandDist57,Paddy,Kharif,Borewell,Clay,1.25,0.506,50,63.92,75.09,2137.65,4000
Sikkim,SikkimDist69,Potato,Rabi,Rainfed,Loam,2.81,1.137,40,108.29,69.79,26855.25,25000
Assam,AssamDist102,Paddy,Kharif,Rainfed,Sandy,1.26,0.51,50,62.27,50.69,2134.73,4000
Rajasthan,RajasthanDist150,Wheat,Rabi,Borewell,Loam,1.26,0.51,45,60.59,54.71,1657.64,3500
Maharashtra,MaharashtraDist29,Soybean,Rabi,Borewell,Loam,2.21,0.894,20,49.8,29.13,927.41,1200
Chhattisgarh,ChhattisgarhDist120,Soybean,Kharif,Rainfed,Clay,0.39,0.158,20,7.7,6.63,194.84,1200
Mizoram,MizoramDist193,Maize,Zaid,Rainfed,Loam,0.46,0.186,30,14.54,9.31,726.76,3500
Himachal Pradesh,HimachalDist185,Maize,Rabi,Borewell,Clay,1.16,0.469,30,34.77,20.95,1752.5,3500
Himachal Pradesh,HimachalDist156,Maize,Kharif,Canal,Loam,0.81,0.328,30,29.31,19.29,1195.11,3500
Gujarat,GujaratDist154,Groundnut,Rabi,Rainfed,Sandy,2.34,0.947,25,58.64,70.18,1705.37,1600
Karnataka,KarnatakaDist15,Sugarcane,Kharif,Borewell,Clay,0.88,0.356,80,81.0,80.3,23489.15,70000
